ID,sensor,tiempo,actividad,evento,exito
620,0,169106,1,0,0
620,1,171366,1,0,0
621,0,159946,1,0,0
621,1,161718,1,0,0
620,0,202237,2,0,0
620,0,202818,3,0,0
620,0,203383,4,0,0
620,0,204855,5,1,1
620,1,206072,2,0,0
620,1,206461,3,0,0
620,1,206885,4,0,0
620,1,208113,5,1,1
621,0,197072,2,0,0
621,0,197339,3,0,0
621,0,197836,4,0,0
621,0,199555,5,1,1
621,1,201042,2,0,0
621,1,201638,3,0,0
621,1,202077,4,0,0
621,1,203555,5,1,1
620,0,239900,6,1,1
620,1,244085,6,1,1
620,1,244864,7,1,1
621,0,234984,6,1,1
621,0,235396,7,1,1
621,1,239166,6,1,1
621,0,895346,8,1,1
621,0,895618,9,1,1
621,0,896445,10,2,2
621,1,899011,7,1,1
621,1,899026,8,1,1
620,1,915372,8,1,1
621,1,934946,9,1,1
621,1,935771,10,2,2
621,1,963881,11,2,2
621,1,971104,12,2,2
620,1,1042003,9,1,1
620,1,1043224,10,2,2
620,1,1043317,11,2,2
620,1,1043887,12,2,2
620,0,1111355,7,1,1
620,0,1236302,8,1,1
621,0,1353715,11,2,2
621,0,1353986,12,2,2
621,0,1354471,13,2,2
621,0,1357654,14,2,2
621,1,1446597,13,2,2
621,1,1446832,14,2,2
621,1,1448177,15,3,3
620,1,1745001,13,2,2
620,1,1745191,14,2,2
620,1,1745462,15,2,2
620,1,1746619,16,2,2
620,1,1747621,17,3,3
620,1,1747787,18,3,3
620,1,1747906,19,3,3
620,1,1748016,20,3,3
620,1,1748143,21,3,3
620,1,1748252,22,3,3
620,1,1748371,23,3,3
620,1,1748494,24,3,3
620,1,1748729,25,3,3
620,1,1748852,26,3,3
620,1,1748967,27,3,3
620,1,1749081,28,3,3
620,1,1749325,29,3,3
620,1,1749440,30,3,3
620,1,1749555,31,3,3
620,1,1749798,32,3,3
620,1,1749917,33,3,3
620,1,1750039,34,3,3
620,1,1750150,35,3,3
620,1,1750287,36,3,3
620,1,1750402,37,3,3
620,1,1750646,38,3,3
620,1,1750891,39,3,3
620,1,1751006,40,3,3
620,1,1751131,41,3,3
620,1,1751249,42,3,3
620,1,1751555,43,3,3
620,1,1751669,44,3,3
620,1,1751788,45,3,3
620,1,1751910,46,3,3
620,1,1752166,47,3,3
620,1,1752281,48,3,3
620,1,1752394,49,3,3
620,1,1752654,50,3,3
620,1,1752765,51,3,3
620,1,1752891,52,3,3
620,1,1753017,53,3,3
620,1,1753158,54,3,3
621,0,1780787,15,3,3
620,0,1803104,9,1,1
620,0,1933221,10,2,2
620,1,1961470,55,3,3
620,1,2066972,56,3,3
620,1,2077766,57,3,3
620,1,2078102,58,3,3
620,1,2079005,59,4,4
620,1,2079304,60,4,4
620,1,2079408,61,4,4
620,1,2079507,62,4,4
620,1,2079626,63,4,4
620,1,2079736,64,4,4
620,1,2079840,65,4,4
621,0,2075123,16,3,3
621,0,2076538,17,3,3
621,0,2077252,18,3,3
621,0,2077366,19,3,3
621,0,2079883,20,4,4
621,0,2198686,21,4,4
621,1,2280078,16,3,3
621,1,2280340,17,3,3
621,1,2280411,18,3,3
621,1,2281176,19,3,3
621,0,2425452,22,4,4
620,1,2474697,66,4,4
620,1,2526521,67,4,4
621,1,2688061,20,4,4
620,1,2742731,68,4,4
620,1,2923724,69,4,4
621,0,2930443,23,4,4
621,0,2939781,24,4,4
620,1,3188474,70,5,5
620,1,3188759,71,5,5
620,1,3188881,72,5,5
620,1,3189075,73,5,5
620,1,3189190,74,5,5
620,1,3189293,75,5,5
620,1,3189411,76,5,5
620,1,3189526,77,5,5
620,1,3189625,78,5,5
620,1,3189740,79,5,5
620,1,3189855,80,5,5
620,1,3189965,81,5,5
620,1,3190083,82,5,5
620,1,3190195,83,5,5
620,1,3190308,84,5,5
620,1,3190427,85,5,5
620,1,3190545,86,5,5
620,1,3190664,87,5,5
620,1,3190793,88,5,5
620,1,3190907,89,5,5
620,1,3191030,90,5,5
620,1,3191159,91,5,5
620,1,3191282,92,5,5
620,1,3191530,93,5,5
620,1,3191649,94,5,5
620,1,3191779,95,5,5
620,1,3191912,96,5,5
620,1,3192053,97,5,5
620,1,3192187,98,5,5
620,1,3192328,99,5,5
620,1,3192465,100,5,5
620,1,3192599,101,5,5
620,1,3192728,102,5,5
620,1,3192878,103,5,5
620,1,3193138,104,5,5
620,1,3193286,105,5,5
620,1,3193423,106,5,5
620,1,3193603,107,5,5
620,1,3193882,108,5,5
620,1,3194007,109,5,5
620,1,3194148,110,5,5
620,1,3194316,111,5,5
620,1,3194481,112,5,5
620,1,3194638,113,5,5
620,1,3194817,114,5,5
620,1,3194946,115,5,5
620,1,3195970,116,5,5
620,1,3196114,117,5,5
620,0,3210009,11,2,2
620,0,3214220,12,2,2
620,0,3214284,13,2,2
620,1,3452999,118,5,5
620,1,3453068,119,5,5
620,1,3453538,120,5,5
620,1,3453640,121,5,5
620,1,3455731,122,6,6
620,1,3455797,123,6,6
620,1,3455904,124,6,6
620,1,3456019,125,6,6
620,1,3456121,126,6,6
620,1,3456232,127,6,6
620,1,3456355,128,6,6
620,1,3456477,129,6,6
620,1,3456595,130,6,6
620,1,3456736,131,6,6
620,1,3456866,132,6,6
620,1,3456976,133,6,6
620,1,3457087,134,6,6
620,1,3457217,135,6,6
620,1,3457328,136,6,6
620,1,3457473,137,6,6
620,1,3457595,138,6,6
620,1,3460844,139,6,6
620,1,3460951,140,6,6
620,1,3461123,141,6,6
620,1,3461664,142,6,6
620,1,3461803,143,6,6
620,1,3658556,144,6,6
620,1,3658823,145,6,6
620,1,3658926,146,6,6
620,1,3659033,147,6,6
620,1,3659939,148,7,7
620,1,3659983,149,7,7
620,1,3660109,150,7,7
620,1,3660228,151,7,7
620,1,3660357,152,7,7
620,1,3660483,153,7,7
620,1,3660620,154,7,7
620,1,3660742,155,7,7
620,1,3660972,156,7,7
620,1,3661094,157,7,7
620,1,3661205,158,7,7
620,1,3661334,159,7,7
620,1,3661464,160,7,7
620,1,3661598,161,7,7
620,1,3661739,162,7,7
620,1,3661877,163,7,7
620,1,3662025,164,7,7
620,1,3662147,165,7,7
620,1,3662281,166,7,7
620,1,3662418,167,7,7
620,1,3662594,168,7,7
620,1,3662716,169,7,7
620,1,3662865,170,7,7
620,1,3663022,171,7,7
620,1,3663148,172,7,7
620,1,3663296,173,7,7
620,1,3663411,174,7,7
620,1,3663549,175,7,7
620,1,3663713,176,7,7
620,1,3663823,177,7,7
620,1,3663958,178,7,7
620,1,3664121,179,7,7
620,1,3664285,180,7,7
620,1,3664663,181,7,7
620,1,3664824,182,7,7
620,1,3666820,183,7,7
620,1,3666920,184,7,7
620,1,3667244,185,7,7
620,1,3667336,186,7,7
620,1,3741367,187,7,7
620,1,3741536,188,7,7
620,1,3745745,189,7,7
621,1,3768970,21,4,4
620,1,3862494,190,7,7
621,0,3902626,25,5,5
620,1,4044752,191,8,8
620,1,4045163,192,8,8
620,1,4045258,193,8,8
620,1,4045353,194,8,8
620,1,4045453,195,8,8
620,1,4045560,196,8,8
620,1,4045671,197,8,8
620,1,4045782,198,8,8
620,1,4045888,199,8,8
620,1,4046003,200,8,8
620,1,4046117,201,8,8
620,1,4046247,202,8,8
620,1,4046358,203,8,8
620,1,4046481,204,8,8
620,1,4046599,205,8,8
620,1,4046740,206,8,8
620,1,4046884,207,8,8
620,1,4046999,208,8,8
620,1,4047118,209,8,8
620,1,4047244,210,8,8
620,1,4047378,211,8,8
620,1,4047518,212,8,8
620,1,4047668,213,8,8
620,1,4047813,214,8,8
620,1,4047927,215,8,8
620,1,4048079,216,8,8
620,1,4048198,217,8,8
620,1,4048332,218,8,8
620,1,4048458,219,8,8
620,1,4048600,220,8,8
620,1,4048710,221,8,8
620,1,4048856,222,8,8
620,1,4049001,223,8,8
620,1,4049145,224,8,8
620,1,4049291,225,8,8
620,1,4049452,226,8,8
620,1,4049627,227,8,8
620,1,4049997,228,8,8
620,1,4050142,229,8,8
620,1,4050279,230,8,8
620,1,4050424,231,8,8
620,1,4057889,232,8,8
620,1,4058015,233,8,8
620,1,4058134,234,8,8
620,1,4058379,235,8,8
620,1,4058745,236,8,8
620,1,4058891,237,8,8
620,1,4059158,238,8,8
620,1,4059299,239,8,8
620,1,4059410,240,8,8
620,1,4059532,241,8,8
620,1,4061338,242,8,8
620,1,4061467,243,8,8
620,1,4061582,244,8,8
620,1,4061712,245,8,8
620,1,4061838,246,8,8
620,1,4066092,247,8,8
620,1,4067019,248,8,8
620,1,4067203,249,8,8
620,1,4067336,250,8,8
620,1,4068262,251,9,9
620,1,4123935,252,9,9
620,1,4124030,253,9,9
620,1,4124123,254,9,9
621,0,4114964,26,5,5
620,1,4124230,255,9,9
621,0,4115423,27,5,5
620,1,4125122,256,10,10
620,1,4125134,257,10,10
621,0,4116023,28,5,5
620,1,4125231,258,10,10
620,1,4125334,259,10,10
620,1,4125463,260,10,10
621,0,4116286,29,5,5
620,1,4125582,261,10,10
620,1,4125697,262,10,10
620,1,4125826,263,10,10
620,1,4125937,264,10,10
620,1,4126078,265,10,10
620,1,4126208,266,10,10
620,1,4126326,267,10,10
620,1,4126433,268,10,10
620,1,4126552,269,10,10
621,0,4117364,30,6,6
620,1,4126673,270,10,10
620,1,4126803,271,10,10
620,1,4126925,272,10,10
620,1,4127082,273,10,10
620,1,4127205,274,10,10
620,1,4127342,275,10,10
620,1,4127461,276,10,10
620,1,4127613,277,10,10
620,1,4127987,278,10,10
620,1,4128109,279,10,10
620,1,4128232,280,10,10
620,1,4128645,281,10,10
620,1,4128778,282,10,10
620,1,4129798,283,10,10
620,1,4129923,284,10,10
620,1,4130061,285,10,10
620,1,4130210,286,10,10
620,1,4130339,287,10,10
620,1,4130511,288,10,10
620,1,4130633,289,10,10
620,1,4136107,290,10,10
620,1,4136244,291,10,10
620,1,4136423,292,10,10
620,1,4136580,293,10,10
620,1,4136851,294,10,10
620,1,4137008,295,10,10
620,1,4137103,296,10,10
620,1,4137348,297,10,10
620,1,4137470,298,10,10
620,1,4137749,299,10,10
620,1,4137875,300,10,10
620,1,4138023,301,10,10
620,1,4138188,302,10,10
620,1,4138288,303,10,10
620,1,4138436,304,10,10
620,1,4138570,305,10,10
620,1,4138711,306,10,10
620,1,4138971,307,10,10
620,1,4164958,308,10,10
620,1,4165309,309,10,10
620,1,4165397,310,10,10
620,1,4165664,311,10,10
620,1,4166614,312,11,11
620,1,4191365,313,11,11
620,1,4191471,314,11,11
620,1,4191575,315,11,11
620,1,4191682,316,11,11
620,1,4192584,317,12,12
620,1,4192687,318,12,12
620,1,4192804,319,12,12
620,1,4192919,320,12,12
620,1,4193034,321,12,12
620,1,4193148,322,12,12
620,1,4193270,323,12,12
620,1,4193396,324,12,12
620,1,4193522,325,12,12
620,1,4193645,326,12,12
620,1,4193782,327,12,12
620,1,4193886,328,12,12
620,1,4194004,329,12,12
620,1,4194111,330,12,12
620,1,4194219,331,12,12
620,1,4194340,332,12,12
620,1,4194469,333,12,12
620,1,4194596,334,12,12
620,1,4194722,335,12,12
620,1,4194860,336,12,12
620,1,4194982,337,12,12
620,1,4195104,338,12,12
620,1,4195215,339,12,12
620,1,4195349,340,12,12
620,1,4195475,341,12,12
620,1,4195628,342,12,12
620,1,4195762,343,12,12
620,1,4195895,344,12,12
620,1,4196021,345,12,12
620,1,4196124,346,12,12
620,1,4199998,347,12,12
620,1,4200101,348,12,12
620,1,4200644,349,12,12
620,1,4200804,350,12,12
620,1,4200930,351,12,12
620,1,4201086,352,12,12
620,1,4201217,353,12,12
620,1,4201461,354,12,12
620,1,4201594,355,12,12
620,1,4201744,356,12,12
620,1,4201896,357,12,12
620,1,4202199,358,12,12
620,1,4202355,359,12,12
620,1,4202492,360,12,12
620,1,4202607,361,12,12
620,1,4202733,362,12,12
620,1,4208712,363,12,12
620,1,4213170,364,12,12
621,1,4227630,22,4,4
621,0,4244614,31,6,6
620,0,4258749,14,2,2
620,0,4259648,15,3,3
620,0,4259890,16,3,3
620,0,4261231,17,3,3
620,0,4268523,18,3,3
620,0,4285934,19,3,3
620,1,4421068,365,12,12
620,1,4421117,366,12,12
620,1,4421217,367,12,12
620,1,4422120,368,13,13
620,1,4422218,369,13,13
620,1,4422328,370,13,13
620,1,4422444,371,13,13
620,1,4422539,372,13,13
620,1,4422676,373,13,13
620,1,4422784,374,13,13
620,1,4422905,375,13,13
620,1,4423020,376,13,13
620,1,4423261,377,13,13
620,1,4423375,378,13,13
620,1,4423493,379,13,13
620,1,4423609,380,13,13
620,1,4423727,381,13,13
620,1,4423861,382,13,13
620,1,4423994,383,13,13
620,1,4424120,384,13,13
620,1,4424250,385,13,13
620,1,4424502,386,13,13
620,1,4424636,387,13,13
620,1,4424773,388,13,13
620,1,4437416,389,13,13
620,1,4437505,390,13,13
620,1,4437695,391,13,13
620,1,4437909,392,13,13
620,1,4438004,393,13,13
620,1,4438104,394,13,13
620,1,4438210,395,13,13
620,1,4438425,396,13,13
620,1,4438528,397,13,13
620,1,4438635,398,13,13
620,1,4438746,399,13,13
