ID,n_sesion,tipo_recompensa,TRT_CTRL,Licks,Events
620,1,sac,TRT,529,20
620,1,wat,TRT,22,4
620,2,sac,TRT,1195,34
620,2,wat,TRT,95,13
620,3,sac,TRT,750,28
620,3,wat,TRT,72,8
620,4,sac,TRT,1665,51
620,4,wat,TRT,27,4
620,5,sac,TRT,1171,40
620,5,wat,TRT,99,9
620,6,sac,TRT,1079,48
620,6,wat,TRT,25,4
621,1,wat,CTRL,44,5
621,2,wat,CTRL,23,2
621,3,wat,CTRL,117,10
621,4,wat,CTRL,308,12
621,5,wat,CTRL,223,8
621,6,wat,CTRL,205,6
622,1,sac,TRT,369,14
622,1,wat,TRT,3,0
622,2,sac,TRT,1418,38
622,2,wat,TRT,22,3
622,3,sac,TRT,1235,49
622,3,wat,TRT,35,5
622,4,sac,TRT,1501,75
622,4,wat,TRT,54,6
622,5,sac,TRT,876,32
622,5,wat,TRT,33,6
622,6,sac,TRT,990,45
622,6,wat,TRT,16,3
623,1,wat,CTRL,195,12
623,2,wat,CTRL,219,14
623,3,wat,CTRL,135,10
623,4,wat,CTRL,158,12
623,5,wat,CTRL,120,13
623,6,wat,CTRL,210,12
624,1,sac,TRT,564,30
624,1,wat,TRT,40,6
624,2,sac,TRT,1639,39
624,2,wat,TRT,51,6
624,3,sac,TRT,1214,48
624,3,wat,TRT,33,6
624,4,sac,TRT,1013,35
624,4,wat,TRT,35,6
624,5,sac,TRT,19,1
624,5,wat,TRT,7,1
624,6,sac,TRT,694,36
624,6,wat,TRT,34,6
625,1,wat,CTRL,74,8
625,2,wat,CTRL,197,15
625,3,wat,CTRL,113,10
625,4,wat,CTRL,127,12
625,5,wat,CTRL,41,4
625,6,wat,CTRL,103,10
627,1,sac,TRT,5,1
627,2,sac,TRT,19,3
627,2,wat,TRT,32,3
627,3,sac,TRT,1153,46
627,3,wat,TRT,51,7
627,4,sac,TRT,1516,70
627,4,wat,TRT,27,5
627,5,sac,TRT,1923,55
627,5,wat,TRT,48,7
627,6,sac,TRT,2088,70
627,6,wat,TRT,56,8
628,1,wat,CTRL,13,2
628,2,wat,CTRL,157,11
628,3,wat,CTRL,143,14
628,4,wat,CTRL,80,6
628,5,wat,CTRL,59,8
628,6,wat,CTRL,80,7
