ID,group,channel,integrated_density
620,treatment,cfos,148.05987499999998
620,treatment,cfos,98.62385000000002
620,treatment,cfos,146.277873
620,treatment,cfos,82.497791
620,treatment,cfos,95.787472
620,treatment,cfos,68.008161
620,treatment,cfos,168.498424
620,treatment,cfos,104.71295999999998
620,treatment,cfos,91.864305
620,treatment,cfos,68.797614
620,treatment,cfos,93.676335
620,treatment,cfos,116.44435200000001
620,treatment,cfos,92.90658
620,treatment,cfos,83.002522
620,treatment,cfos,139.287276
621,control,cfos,124.809012
621,control,cfos,62.648992
621,control,cfos,199.983616
621,control,cfos,169.56724799999998
621,control,cfos,162.209518
621,control,cfos,58.77846
621,control,cfos,100.853928
621,control,cfos,227.395909
621,control,cfos,76.040432
621,control,cfos,187.18783200000001
621,control,cfos,70.191296
621,control,cfos,111.679074
621,control,cfos,123.894482
621,control,cfos,198.00654
621,control,cfos,202.90834200000003
621,control,cfos,130.90779
621,control,cfos,302.649249
621,control,cfos,122.559369
621,control,cfos,96.984525
621,control,cfos,121.62103499999999
621,control,cfos,152.28994
621,control,cfos,109.11519099999998
621,control,cfos,111.672544
621,control,cfos,143.286315
621,control,cfos,124.67086
621,control,cfos,129.87695
621,control,cfos,139.590933
621,control,cfos,118.51707599999999
621,control,cfos,134.682612
621,control,cfos,149.700701
621,control,cfos,126.31346599999999
621,control,cfos,153.312288
621,control,cfos,168.934036
621,control,cfos,233.26704
621,control,cfos,144.48239
621,control,cfos,244.55351999999996
621,control,cfos,231.123354
621,control,cfos,172.707216
621,control,cfos,149.697294
621,control,cfos,85.979727
622,treatment,cfos,65.23628799999999
622,treatment,cfos,78.423868
622,treatment,cfos,94.70253600000001
622,treatment,cfos,106.99040900000001
622,treatment,cfos,91.33671999999999
622,treatment,cfos,74.80900799999999
622,treatment,cfos,84.927725
622,treatment,cfos,98.76028500000001
622,treatment,cfos,116.63378999999999
622,treatment,cfos,139.291744
622,treatment,cfos,131.93856
622,treatment,cfos,53.615944
622,treatment,cfos,136.230265
622,treatment,cfos,123.39559500000001
622,treatment,cfos,123.4944
622,treatment,cfos,101.012076
622,treatment,cfos,96.05105999999999
622,treatment,cfos,99.84351000000001
622,treatment,cfos,109.73365
622,treatment,cfos,144.076608
622,treatment,cfos,90.56528399999999
622,treatment,cfos,73.65193900000001
622,treatment,cfos,39.775155
622,treatment,cfos,36.398073000000004
622,treatment,cfos,136.371303
622,treatment,cfos,152.61695
623,control,cfos,301.89068000000003
623,control,cfos,85.86363399999999
623,control,cfos,39.575437
623,control,cfos,109.007451
623,control,cfos,63.451548
623,control,cfos,48.495678999999996
623,control,cfos,185.124348
623,control,cfos,130.35501
623,control,cfos,102.91216
623,control,cfos,72.27295
623,control,cfos,94.76989999999999
623,control,cfos,144.477102
623,control,cfos,88.19362
623,control,cfos,108.717324
623,control,cfos,128.068512
623,control,cfos,103.386878
623,control,cfos,88.75862699999999
623,control,cfos,82.33434
624,treatment,cfos,65.79328000000001
624,treatment,cfos,63.528468
624,treatment,cfos,68.15946600000001
624,treatment,cfos,77.99016
624,treatment,cfos,88.92654900000001
624,treatment,cfos,59.92949599999999
624,treatment,cfos,80.69367
624,treatment,cfos,57.26133
624,treatment,cfos,142.44964000000002
624,treatment,cfos,105.72885
624,treatment,cfos,98.48849799999999
624,treatment,cfos,123.977399
624,treatment,cfos,58.475683000000004
624,treatment,cfos,83.531792
624,treatment,cfos,143.584314
624,treatment,cfos,158.32608
624,treatment,cfos,119.195066
624,treatment,cfos,111.34146
624,treatment,cfos,117.16127999999999
624,treatment,cfos,126.26501400000001
624,treatment,cfos,157.776255
624,treatment,cfos,109.6556
624,treatment,cfos,75.22726
624,treatment,cfos,142.660669
624,treatment,cfos,226.40634000000003
624,treatment,cfos,155.26228
624,treatment,cfos,66.338594
624,treatment,cfos,74.99391200000001
624,treatment,cfos,57.283429
624,treatment,cfos,109.06920000000001
624,treatment,cfos,154.58805
624,treatment,cfos,56.700934000000004
624,treatment,cfos,126.015825
624,treatment,cfos,73.003944
624,treatment,cfos,146.13504
624,treatment,cfos,72.611037
624,treatment,cfos,139.14067
624,treatment,cfos,135.740104
624,treatment,cfos,66.513478
624,treatment,cfos,180.5248
624,treatment,cfos,87.71731100000001
624,treatment,cfos,117.30998399999999
624,treatment,cfos,165.89072000000002
624,treatment,cfos,136.298052
624,treatment,cfos,104.093045
624,treatment,cfos,103.732696
624,treatment,cfos,116.527936
624,treatment,cfos,113.26770699999999
624,treatment,cfos,76.425252
624,treatment,cfos,81.87594800000001
624,treatment,cfos,130.197675
624,treatment,cfos,131.78468700000002
624,treatment,cfos,152.46218000000002
624,treatment,cfos,114.009507
624,treatment,cfos,211.647715
624,treatment,cfos,139.272267
624,treatment,cfos,66.946367
624,treatment,cfos,77.183925
624,treatment,cfos,85.170826
624,treatment,cfos,102.47952
624,treatment,cfos,95.52347400000001
624,treatment,cfos,98.716464
624,treatment,cfos,140.82824399999998
624,treatment,cfos,150.827605
624,treatment,cfos,91.299866
624,treatment,cfos,84.40396300000002
624,treatment,cfos,42.237804
624,treatment,cfos,77.622652
624,treatment,cfos,145.615932
624,treatment,cfos,110.801886
624,treatment,cfos,110.18920800000001
624,treatment,cfos,125.19181300000001
624,treatment,cfos,106.81723799999999
624,treatment,cfos,89.64774
624,treatment,cfos,105.785412
624,treatment,cfos,117.70395599999999
624,treatment,cfos,136.64994
624,treatment,cfos,120.100581
624,treatment,cfos,135.57398
624,treatment,cfos,81.472014
624,treatment,cfos,200.20371799999998
