ID,group,channel,integrated_density
620,treatment,cfos,95.787472
620,treatment,cfos,91.864305
620,treatment,cfos,92.90658
621,control,cfos,187.18783200000001
621,control,cfos,139.590933
621,control,cfos,168.934036
621,control,cfos,231.123354
621,control,cfos,149.697294
622,treatment,cfos,99.84351000000001
622,treatment,cfos,39.775155
622,treatment,cfos,36.398073000000004
623,control,cfos,109.007451
623,control,cfos,130.35501
623,control,cfos,72.27295
623,control,cfos,144.477102
623,control,cfos,103.386878
624,treatment,cfos,63.528468
624,treatment,cfos,57.26133
624,treatment,cfos,142.44964000000002
624,treatment,cfos,143.584314
624,treatment,cfos,158.32608
624,treatment,cfos,119.195066
624,treatment,cfos,111.34146
624,treatment,cfos,126.26501400000001
624,treatment,cfos,157.776255
624,treatment,cfos,109.6556
624,treatment,cfos,75.22726
624,treatment,cfos,66.338594
624,treatment,cfos,57.283429
624,treatment,cfos,109.06920000000001
624,treatment,cfos,154.58805
624,treatment,cfos,56.700934000000004
624,treatment,cfos,139.14067
624,treatment,cfos,135.740104
624,treatment,cfos,87.71731100000001
624,treatment,cfos,165.89072000000002
624,treatment,cfos,104.093045
624,treatment,cfos,103.732696
624,treatment,cfos,116.527936
624,treatment,cfos,113.26770699999999
624,treatment,cfos,76.425252
624,treatment,cfos,81.87594800000001
624,treatment,cfos,131.78468700000002
624,treatment,cfos,152.46218000000002
624,treatment,cfos,114.009507
624,treatment,cfos,211.647715
624,treatment,cfos,139.272267
624,treatment,cfos,66.946367
624,treatment,cfos,102.47952
624,treatment,cfos,95.52347400000001
624,treatment,cfos,150.827605
624,treatment,cfos,91.299866
624,treatment,cfos,84.40396300000002
624,treatment,cfos,42.237804
624,treatment,cfos,77.622652
624,treatment,cfos,145.615932
624,treatment,cfos,110.801886
624,treatment,cfos,110.18920800000001
624,treatment,cfos,105.785412
624,treatment,cfos,117.70395599999999
624,treatment,cfos,136.64994
624,treatment,cfos,120.100581
624,treatment,cfos,135.57398
624,treatment,cfos,136.617707
624,treatment,cfos,149.301648
624,treatment,cfos,73.757481
624,treatment,cfos,109.8549
624,treatment,cfos,105.45121100000001
624,treatment,cfos,128.21131499999998
624,treatment,cfos,88.23253499999998
624,treatment,cfos,96.09526499999998
624,treatment,cfos,162.710647
624,treatment,cfos,93.85578599999998
624,treatment,cfos,101.487753
624,treatment,cfos,113.64309599999999
624,treatment,cfos,84.28604
624,treatment,cfos,102.96096299999999
624,treatment,cfos,75.561042
624,treatment,cfos,65.5418
624,treatment,cfos,78.847769
624,treatment,cfos,159.16164600000002
624,treatment,cfos,97.69326
624,treatment,cfos,153.02508
624,treatment,cfos,80.34364
624,treatment,cfos,69.0846
624,treatment,cfos,67.794779
624,treatment,cfos,146.180636
624,treatment,cfos,99.25492
624,treatment,cfos,80.54437
624,treatment,cfos,106.31314400000001
624,treatment,cfos,36.181913
624,treatment,cfos,136.42141800000002
624,treatment,cfos,76.41441599999999
624,treatment,cfos,114.178147
624,treatment,cfos,140.375662
624,treatment,cfos,107.96924899999999
624,treatment,cfos,87.51459600000001
624,treatment,cfos,89.13166
624,treatment,cfos,135.786825
624,treatment,cfos,115.871184
624,treatment,cfos,87.386076
624,treatment,cfos,55.594995000000004
624,treatment,cfos,54.644439999999996
624,treatment,cfos,108.555164
624,treatment,cfos,77.117928
624,treatment,cfos,84.679941
624,treatment,cfos,80.720018
624,treatment,cfos,133.78575600000002
624,treatment,cfos,113.674344
624,treatment,cfos,100.67621000000001
624,treatment,cfos,102.75380999999999
624,treatment,cfos,84.704624
624,treatment,cfos,66.79029
624,treatment,cfos,53.587418
624,treatment,cfos,98.70201
624,treatment,cfos,63.950531999999995
624,treatment,cfos,91.864305
624,treatment,cfos,75.896849
624,treatment,cfos,147.28744400000002
624,treatment,cfos,107.2708
624,treatment,cfos,100.207422
624,treatment,cfos,134.22532500000003
625,control,cfos,87.81824
625,control,cfos,105.28698000000001
625,control,cfos,143.64272
625,control,cfos,208.01088000000001
625,control,cfos,180.542278
625,control,cfos,62.16938400000001
625,control,cfos,76.990914
625,control,cfos,71.46562300000001
625,control,cfos,88.95942900000001
625,control,cfos,85.95453
625,control,cfos,100.586634
625,control,cfos,256.01324
625,control,cfos,90.6912
625,control,cfos,96.51297
625,control,cfos,162.565104
625,control,cfos,223.058628
625,control,cfos,145.63539
625,control,cfos,173.215251
625,control,cfos,65.74643
625,control,cfos,183.65831999999997
625,control,cfos,183.65831999999997
625,control,cfos,66.37393
628,control,cfos,147.703335
628,control,cfos,176.33578500000002
628,control,cfos,189.939792
628,control,cfos,80.429608
628,control,cfos,155.511616
628,control,cfos,211.681862
628,control,cfos,188.56215
628,control,cfos,73.209146
628,control,cfos,152.00390000000002
628,control,cfos,126.977452
