pool,n_sesion,fecha,droga,dosis,ID,hora_inicio,hora_termino,n_licometro,estimulo_spout_1,estimulo_spout_2,licks_inicio_spout_1,licks_inicio_spout_2,licks_fin_spout_1,licks_fin_spout_2,eventos_inicio_spout_1,eventos_inicio_spout_2,eventos_fin_spout_1,eventos_fin_spout_2,ml_consumidos_spout_1,ml_consumidos_spout_2
fr5retrobeads,1,2024 01 11,na_na_na_na,0_0_na,620,09 32 00,11 02 00,1,wat,sac,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,1,2024 01 11,na_na_na_na,0_0_na,621,09 32 00,11 02 00,2,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,2,2024 01 12,na_na_na_na,0_0_na,620,09 52 00,11 24 00,1,sac,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,2,2024 01 12,na_na_na_na,0_0_na,621,09 52 00,11 24 00,2,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,1,2024 01 12,na_na_na_na,0_0_na,622,09 52 00,11 24 00,3,sac,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,1,2024 01 12,na_na_na_na,0_0_na,623,09 52 00,11 24 00,4,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,3,2024 01 13,na_na_na_na,0_0_na,620,10 15 00,11 45 00,1,wat,sac,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,3,2024 01 13,na_na_na_na,0_0_na,621,10 15 00,11 45 00,2,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,2,2024 01 13,na_na_na_na,0_0_na,622,10 15 00,11 45 00,3,wat,sac,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,2,2024 01 13,na_na_na_na,0_0_na,623,10 15 00,11 45 00,4,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,1,2024 01 13,na_na_na_na,0_0_na,624,10 15 00,11 45 00,5,wat,sac,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,1,2024 01 13,na_na_na_na,0_0_na,625,10 15 00,11 45 00,6,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,4,2024 01 14,na_na_na_na,0_0_na,620,10 03 00,11 33 00,1,sac,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,4,2024 01 14,na_na_na_na,0_0_na,621,10 03 00,11 33 00,2,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,3,2024 01 14,na_na_na_na,0_0_na,622,10 03 00,11 33 00,3,sac,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,3,2024 01 14,na_na_na_na,0_0_na,623,10 03 00,11 33 00,4,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,2,2024 01 14,na_na_na_na,0_0_na,624,10 03 00,11 33 00,5,sac,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,2,2024 01 14,na_na_na_na,0_0_na,625,10 03 00,11 33 00,6,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,1,2024 01 14,na_na_na_na,0_0_na,627,10 03 00,11 33 00,7,sac,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,1,2024 01 14,na_na_na_na,0_0_na,628,10 03 00,11 33 00,8,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,5,2024 01 15,na_na_na_na,0_0_na,620,10 03 00,11 33 00,1,wat,sac,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,5,2024 01 15,na_na_na_na,0_0_na,621,10 03 00,11 33 00,2,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,4,2024 01 15,na_na_na_na,0_0_na,622,10 03 00,11 33 00,3,wat,sac,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,4,2024 01 15,na_na_na_na,0_0_na,623,10 03 00,11 33 00,4,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,3,2024 01 15,na_na_na_na,0_0_na,624,10 03 00,11 33 00,5,wat,sac,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,3,2024 01 15,na_na_na_na,0_0_na,625,10 03 00,11 33 00,6,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,2,2024 01 15,na_na_na_na,0_0_na,627,10 03 00,11 33 00,7,wat,sac,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,2,2024 01 15,na_na_na_na,0_0_na,628,10 03 00,11 33 00,8,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,6,2024 01 16,na_na_na_na,0_0_na,620,10 03 00,11 33 00,1,sac,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,6,2024 01 16,na_na_na_na,0_0_na,621,10 03 00,11 33 00,2,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,5,2024 01 16,na_na_na_na,0_0_na,622,10 03 00,11 33 00,3,sac,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,5,2024 01 16,na_na_na_na,0_0_na,623,10 03 00,11 33 00,4,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,4,2024 01 16,na_na_na_na,0_0_na,624,10 03 00,11 33 00,5,sac,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,4,2024 01 16,na_na_na_na,0_0_na,625,10 03 00,11 33 00,6,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,3,2024 01 16,na_na_na_na,0_0_na,627,10 03 00,11 33 00,7,sac,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,3,2024 01 16,na_na_na_na,0_0_na,628,10 03 00,11 33 00,8,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,6,2024 01 17,na_na_na_na,0_0_na,622,10 03 00,11 33 00,3,wat,sac,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,6,2024 01 17,na_na_na_na,0_0_na,623,10 03 00,11 33 00,4,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,5,2024 01 17,na_na_na_na,0_0_na,624,10 03 00,11 33 00,5,wat,sac,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,5,2024 01 17,na_na_na_na,0_0_na,625,10 03 00,11 33 00,6,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,4,2024 01 17,na_na_na_na,0_0_na,627,10 03 00,11 33 00,7,wat,sac,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,4,2024 01 17,na_na_na_na,0_0_na,628,10 03 00,11 33 00,8,wat,wat,1,1,1,1,1,1,1,1,1,1
fr5retrobeads,6,2024 01 18,na_na_na_na,0_0_na,624,10 03 00,11 33 00,5,sac,wat,1,1,1,1,1,1,1,1,1,1
