ID,sensor,tiempo,actividad,evento,exito
622,1,117282,1,0,0
622,1,117500,2,0,0
623,1,115105,1,0,0
624,1,107182,1,0,0
625,1,98890,1,0,0
627,1,88822,1,0,0
628,1,79928,1,0,0
623,1,1263678,2,0,0
623,1,1263782,3,0,0
622,0,1303730,1,0,0
622,0,1303820,2,0,0
622,0,1304214,3,0,0
622,0,1304315,4,0,0
622,0,1305308,5,1,1
622,0,1305406,6,1,1
623,0,1324409,1,0,0
623,0,1324992,2,0,0
623,0,1325108,3,0,0
623,0,1328326,4,0,0
624,1,1352909,2,0,0
624,1,1353908,3,0,0
624,1,1354030,4,0,0
624,1,1355032,5,1,1
624,1,1355086,6,1,1
624,1,1355189,7,1,1
624,1,1355295,8,1,1
624,1,1355512,9,1,1
624,1,1355620,10,1,1
624,1,1355726,11,1,1
624,1,1355959,12,1,1
624,1,1356085,13,1,1
624,1,1356195,14,1,1
624,1,1356279,15,1,1
624,1,1356596,16,1,1
627,0,1352393,1,0,0
624,1,1375517,17,1,1
624,1,1375621,18,1,1
628,0,1354872,1,0,0
624,0,1395258,1,0,0
624,0,1395346,2,0,0
624,0,1395437,3,0,0
624,0,1395525,4,0,0
624,0,1396413,5,1,1
624,0,1396715,6,1,1
624,0,1396837,7,1,1
623,1,1427560,4,0,0
623,1,1428692,5,1,1
623,1,1428884,6,1,1
623,1,1429761,7,1,1
623,1,1430452,8,1,1
623,1,1431184,9,1,1
623,0,1454503,5,1,1
623,0,1454776,6,1,1
623,0,1456470,7,1,1
623,1,1473328,10,1,1
623,1,1475589,11,1,1
623,1,1475902,12,1,1
623,1,1476114,13,1,1
623,1,1477242,14,2,2
623,1,1478202,15,2,2
623,1,1478627,16,2,2
624,1,1478924,19,1,1
624,1,1479404,20,1,1
623,1,1501692,17,2,2
627,1,1497647,2,0,0
627,1,1497865,3,0,0
627,1,1498158,4,0,0
627,1,1499055,5,1,1
627,1,1499140,6,1,1
627,1,1499362,7,1,1
627,1,1499463,8,1,1
627,1,1499580,9,1,1
627,1,1499806,10,1,1
627,1,1499919,11,1,1
627,1,1500036,12,1,1
627,1,1500156,13,1,1
627,1,1500266,14,1,1
627,1,1500376,15,1,1
627,1,1500492,16,1,1
627,1,1500745,17,1,1
627,1,1500855,18,1,1
627,1,1500964,19,1,1
627,1,1501202,20,1,1
627,1,1501310,21,1,1
627,1,1501553,22,1,1
627,1,1501685,23,1,1
627,1,1501899,24,1,1
627,1,1502012,25,1,1
622,1,1539653,3,0,0
627,1,1502126,26,1,1
627,1,1502235,27,1,1
627,1,1502355,28,1,1
627,1,1502472,29,1,1
627,1,1502710,30,1,1
627,1,1502823,31,1,1
627,1,1502944,32,1,1
622,1,1540583,4,0,0
627,1,1503069,33,1,1
627,1,1503201,34,1,1
627,1,1503322,35,1,1
627,1,1503458,36,1,1
627,1,1503969,37,1,1
627,1,1504273,38,1,1
627,1,1504382,39,1,1
625,1,1517438,2,0,0
627,1,1513881,40,1,1
627,1,1534983,41,1,1
627,1,1535134,42,1,1
627,1,1535233,43,1,1
627,1,1535361,44,1,1
627,1,1536460,45,2,2
627,1,1540802,46,2,2
627,1,1540938,47,2,2
627,1,1541040,48,2,2
622,0,1580621,7,1,1
622,0,1580770,8,1,1
622,0,1580867,9,1,1
622,0,1581078,10,1,1
623,1,1577927,18,2,2
623,1,1578333,19,2,2
623,1,1578560,20,2,2
623,1,1579839,21,3,3
623,1,1580065,22,3,3
623,1,1580185,23,3,3
623,1,1580528,24,3,3
623,1,1581154,25,3,3
623,1,1690426,26,3,3
628,1,1652020,2,0,0
623,1,1690695,27,3,3
623,1,1690939,28,3,3
623,1,1693760,29,3,3
625,0,1699994,1,0,0
625,0,1712590,2,0,0
623,0,1730473,8,1,1
627,1,1712828,49,2,2
627,1,1712929,50,2,2
627,1,1713136,51,2,2
627,1,1713229,52,2,2
627,1,1714131,53,3,3
627,1,1714200,54,3,3
627,1,1714306,55,3,3
627,1,1714414,56,3,3
627,1,1714524,57,3,3
627,1,1714633,58,3,3
627,1,1714742,59,3,3
627,1,1714871,60,3,3
627,1,1714979,61,3,3
627,1,1715100,62,3,3
627,1,1715221,63,3,3
627,1,1715346,64,3,3
627,1,1715482,65,3,3
627,1,1715627,66,3,3
627,1,1715747,67,3,3
627,1,1716453,68,3,3
627,1,1788017,69,3,3
627,1,1788123,70,3,3
627,1,1788224,71,3,3
627,1,1788430,72,3,3
627,1,1789332,73,4,4
627,1,1789405,74,4,4
627,1,1789517,75,4,4
627,1,1789631,76,4,4
627,1,1789755,77,4,4
627,1,1789880,78,4,4
627,1,1790017,79,4,4
627,1,1790145,80,4,4
627,1,1841883,81,4,4
627,1,1842003,82,4,4
627,1,1842094,83,4,4
627,1,1842284,84,4,4
627,1,1843178,85,5,5
627,1,1843247,86,5,5
627,1,1843360,87,5,5
627,1,1843477,88,5,5
627,1,1843602,89,5,5
627,1,1843722,90,5,5
627,1,1843995,91,5,5
623,1,1899480,30,4,4
623,1,1899532,31,4,4
623,1,1899855,32,4,4
623,1,1899952,33,4,4
623,1,1900068,34,4,4
623,1,1900187,35,4,4
623,1,1900407,36,4,4
623,1,1900530,37,4,4
623,1,1900778,38,4,4
627,1,1881883,92,5,5
627,1,1881976,93,5,5
627,1,1882117,94,5,5
627,1,1882218,95,5,5
627,1,1883101,96,6,6
627,1,1883139,97,6,6
627,1,1883247,98,6,6
627,1,1883360,99,6,6
627,1,1883586,100,6,6
627,1,1883696,101,6,6
623,0,1972694,9,1,1
628,1,1941616,3,0,0
628,1,1941762,4,0,0
628,1,1943000,5,1,1
628,1,1943044,6,1,1
628,1,1943144,7,1,1
628,1,1943244,8,1,1
628,0,1957557,2,0,0
628,0,1957758,3,0,0
627,1,1973460,102,6,6
627,1,1973577,103,6,6
627,1,1973675,104,6,6
627,1,1973776,105,6,6
627,1,1974666,106,7,7
627,1,1974833,107,7,7
627,1,1974949,108,7,7
627,1,1975059,109,7,7
627,1,1975175,110,7,7
627,1,1975297,111,7,7
627,1,1975413,112,7,7
627,1,1975545,113,7,7
627,1,1975666,114,7,7
627,1,1975787,115,7,7
627,1,1975912,116,7,7
627,1,1976059,117,7,7
627,1,1976197,118,7,7
627,1,1976547,119,7,7
622,1,2036937,5,1,1
622,1,2037176,6,1,1
622,1,2037281,7,1,1
622,1,2037402,8,1,1
622,1,2037637,9,1,1
622,1,2037855,10,1,1
622,1,2038078,11,1,1
622,1,2038199,12,1,1
622,1,2038453,13,1,1
622,1,2038679,14,1,1
622,1,2038914,15,1,1
622,1,2039038,16,1,1
622,1,2039152,17,1,1
622,1,2039277,18,1,1
622,1,2039405,19,1,1
622,1,2039632,20,1,1
622,1,2039749,21,1,1
622,1,2039874,22,1,1
622,1,2039992,23,1,1
622,1,2040132,24,1,1
622,1,2040250,25,1,1
622,1,2040378,26,1,1
622,1,2040503,27,1,1
622,1,2040750,28,1,1
622,1,2040886,29,1,1
622,1,2041008,30,1,1
622,1,2041133,31,1,1
622,1,2041253,32,1,1
622,1,2041378,33,1,1
622,1,2041503,34,1,1
622,1,2041628,35,1,1
622,1,2041768,36,1,1
622,1,2041886,37,1,1
622,1,2042014,38,1,1
622,1,2042147,39,1,1
622,1,2042272,40,1,1
622,1,2042397,41,1,1
622,1,2042534,42,1,1
622,1,2042897,43,1,1
622,1,2043155,44,1,1
622,1,2043277,45,1,1
622,1,2043557,46,1,1
622,1,2043671,47,1,1
622,1,2043807,48,1,1
622,1,2043944,49,1,1
622,1,2044073,50,1,1
622,1,2044198,51,1,1
622,1,2044455,52,1,1
622,1,2044718,53,1,1
622,1,2044843,54,1,1
622,1,2044967,55,1,1
622,1,2045096,56,1,1
622,1,2045366,57,1,1
622,1,2045495,58,1,1
622,1,2045788,59,1,1
622,1,2045925,60,1,1
622,1,2046237,61,1,1
622,1,2046487,62,1,1
622,1,2047030,63,1,1
622,1,2047166,64,1,1
622,1,2047592,65,1,1
622,1,2047736,66,1,1
622,1,2047925,67,1,1
623,1,2052512,39,4,4
623,1,2052774,40,4,4
627,1,2047652,120,7,7
627,1,2047750,121,7,7
627,1,2047934,122,7,7
627,1,2048027,123,7,7
627,1,2048924,124,8,8
627,1,2049001,125,8,8
627,1,2049115,126,8,8
627,1,2049231,127,8,8
627,1,2049344,128,8,8
627,1,2049465,129,8,8
627,1,2049590,130,8,8
627,1,2049730,131,8,8
622,1,2103564,68,1,1
622,1,2103664,69,1,1
622,1,2103786,70,1,1
622,1,2103900,71,1,1
622,1,2104813,72,2,2
622,1,2104871,73,2,2
622,1,2105012,74,2,2
622,1,2105141,75,2,2
622,1,2105524,76,2,2
622,1,2106078,77,2,2
622,1,2114284,78,2,2
622,1,2114397,79,2,2
622,1,2114545,80,2,2
622,1,2114663,81,2,2
622,1,2114772,82,2,2
622,1,2114889,83,2,2
622,1,2115002,84,2,2
622,1,2115120,85,2,2
622,1,2115233,86,2,2
622,1,2115346,87,2,2
622,1,2115467,88,2,2
622,1,2115593,89,2,2
622,1,2115705,90,2,2
622,1,2115834,91,2,2
622,1,2115955,92,2,2
622,0,2124613,11,2,2
627,1,2101764,132,8,8
627,1,2101869,133,8,8
627,1,2101954,134,8,8
627,1,2102133,135,8,8
627,1,2103027,136,9,9
627,1,2103069,137,9,9
627,1,2103287,138,9,9
627,1,2103400,139,9,9
627,1,2103513,140,9,9
627,1,2103630,141,9,9
627,1,2103743,142,9,9
627,1,2103860,143,9,9
627,1,2103972,144,9,9
627,1,2104090,145,9,9
627,1,2104207,146,9,9
622,1,2148524,93,2,2
622,1,2148632,94,2,2
622,1,2148730,95,2,2
622,1,2148828,96,2,2
625,0,2123121,3,0,0
627,1,2110866,147,9,9
622,1,2149726,97,3,3
622,1,2150354,98,3,3
622,1,2150492,99,3,3
622,1,2150604,100,3,3
622,1,2150718,101,3,3
622,1,2150831,102,3,3
622,1,2150948,103,3,3
622,1,2151062,104,3,3
622,1,2151186,105,3,3
622,1,2151307,106,3,3
622,1,2151425,107,3,3
622,1,2151542,108,3,3
622,1,2151663,109,3,3
622,1,2151776,110,3,3
622,1,2151889,111,3,3
622,1,2152014,112,3,3
622,1,2152132,113,3,3
622,1,2152249,114,3,3
622,1,2152363,115,3,3
622,1,2152491,116,3,3
622,1,2152608,117,3,3
622,1,2152721,118,3,3
622,1,2152839,119,3,3
622,1,2152963,120,3,3
622,1,2153084,121,3,3
622,1,2153205,122,3,3
622,1,2153334,123,3,3
622,1,2153455,124,3,3
622,1,2153713,125,3,3
622,1,2154041,126,3,3
622,1,2154764,127,3,3
622,1,2154854,128,3,3
622,1,2221932,129,3,3
622,1,2222039,130,3,3
622,1,2222132,131,3,3
622,1,2222222,132,3,3
622,1,2223116,133,4,4
622,1,2223198,134,4,4
622,1,2223314,135,4,4
622,1,2223435,136,4,4
622,1,2223545,137,4,4
622,1,2223667,138,4,4
622,1,2223783,139,4,4
622,1,2223900,140,4,4
622,1,2224014,141,4,4
622,1,2224131,142,4,4
622,1,2224243,143,4,4
622,1,2224350,144,4,4
622,1,2224475,145,4,4
622,1,2224600,146,4,4
622,1,2224716,147,4,4
622,1,2224837,148,4,4
622,1,2224970,149,4,4
622,1,2226981,150,4,4
623,1,2220993,41,4,4
623,1,2221294,42,4,4
623,1,2222318,43,5,5
623,1,2222330,44,5,5
623,1,2222432,45,5,5
623,1,2222671,46,5,5
623,1,2222790,47,5,5
623,1,2223473,48,5,5
623,1,2223666,49,5,5
